"geocode","etiqueta","granularidad","gcd_isla","gcd_municipio","superficie","utm_x","utm_y","longitud","latitud"
"250mN094150E191850","250mN094150E191850","GRID_250","ES704","35015","0.8805","565556.26","3102303.91","-14.332988","28.044433"
"250mN094150E191875","250mN094150E191875","GRID_250","ES704","35015","1.9872","565738.62","3102350.15","-14.33113","28.044842"
"250mN094150E191900","250mN094150E191900","GRID_250","ES704","35015","0.186","565866.41","3102410.6","-14.329826","28.045381"
"250mN094175E191800","250mN094175E191800","GRID_250","ES704","35015","0.7438","565046.22","3102352.02","-14.338174","28.044893"
"250mN094175E191825","250mN094175E191825","GRID_250","ES704","35015","4.5419","565209.63","3102370.01","-14.336511","28.045047"
"250mN094175E191850","250mN094175E191850","GRID_250","ES704","35015","6.236","565455.01","3102420.39","-14.334011","28.04549"
"250mN094175E191875","250mN094175E191875","GRID_250","ES704","35015","6.25","565693.01","3102499.4","-14.331585","28.046191"
"250mN094175E191900","250mN094175E191900","GRID_250","ES704","35015","5.8038","565924.56","3102603.47","-14.329224","28.047119"
"250mN094175E191925","250mN094175E191925","GRID_250","ES704","35015","3.8206","566143.25","3102699.14","-14.326993","28.047972"
"250mN094175E191950","250mN094175E191950","GRID_250","ES704","35015","2.007","566387.51","3102812.21","-14.324502","28.04898"
"250mN094175E191975","250mN094175E191975","GRID_250","ES704","35015","1.2809","566558.3","3102865.31","-14.322761","28.049451"
"250mN094200E191775","250mN094200E191775","GRID_250","ES704","35015","1.283","564738.87","3102493.22","-14.341293","28.046182"
"250mN094200E191800","250mN094200E191800","GRID_250","ES704","35015","5.617","564913.81","3102515.49","-14.339512","28.046375"
"250mN094200E191825","250mN094200E191825","GRID_250","ES704","35015","6.25","565154.75","3102583.13","-14.337057","28.046974"
"250mN094200E191850","250mN094200E191850","GRID_250","ES704","35015","6.25","565392.75","3102662.14","-14.334631","28.047675"
"250mN094200E191875","250mN094200E191875","GRID_250","ES704","35015","6.25","565630.76","3102741.15","-14.332205","28.048376"
"250mN094200E191900","250mN094200E191900","GRID_250","ES704","35015","6.25","565868.77","3102820.16","-14.329779","28.049078"
"250mN094200E191925","250mN094200E191925","GRID_250","ES704","35015","6.25","566106.77","3102899.16","-14.327353","28.049779"
"250mN094200E191950","250mN094200E191950","GRID_250","ES704","35015","6.25","566344.78","3102978.16","-14.324927","28.05048"
"250mN094200E191975","250mN094200E191975","GRID_250","ES704","35015","6.1757","566578.57","3103073.52","-14.322543","28.051329"
"250mN094200E192000","250mN094200E192000","GRID_250","ES704","35015","2.8956","566749.53","3103123.62","-14.320801","28.051773"
"250mN094200E192025","250mN094200E192025","GRID_250","ES704","35015","0.0111","566913.41","3103289.75","-14.319124","28.053264"
"250mN094225E191750","250mN094225E191750","GRID_250","ES704","35015","2.2207","564384.9","3102659.03","-14.344886","28.047696"
"250mN094225E191775","250mN094225E191775","GRID_250","ES704","35015","6.0299","564616.48","3102666.84","-14.342529","28.047755"
"250mN094225E191800","250mN094225E191800","GRID_250","ES704","35015","6.25","564854.49","3102745.86","-14.340103","28.048457"
