"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a0e","2022","35015","GRID_250","250mN094225E191800","ES704","ES704A0","ES704A03","35015","213","42.0305","42.012","110","103","93.6364","109","104","48.8263","20","167","26","","","","9.3897","78.4038","12.2066","27.5449","15.5689","11.976","130","76.9231","","","6.25","3408","1664","","","","","","","57","26","130","26.7606","12.2066","61.0329","MULTIPOLYGON (((28.047013742286794 -14.341005991740543, 28.049198928527414 -14.341626121085142, 28.04990057383544 -14.339200148687343, 28.0477153673985 -14.33858006971668, 28.047013742286794 -14.341005991740543)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a0f","2022","35015","GRID_250","250mN094225E191825","ES704","ES704A0","ES704A03","35015","14","60.4286","60.4883","10","4","40","11","3","21.4286","0","8","6","","","","0","57.1429","42.8571","75","75","0","","0","","","6.25","224","48","","","","","","","3","4","7","21.4286","28.5714","50","MULTIPOLYGON (((28.0477153673985 -14.33858006971668, 28.04990057383544 -14.339200148687343, 28.050602150841595 -14.33677414638398, 28.048416924209796 -14.336154117791116, 28.0477153673985 -14.33858006971668)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a10","2022","35015","GRID_250","250mN094225E191850","ES704","ES704A0","ES704A03","35015","602","40.5","40.5053","312","290","92.9487","364","238","39.5349","71","480","51","","","","11.794","79.7342","8.4718","25.4167","10.625","14.7917","71.831","139.2157","","","6.25","9632","3808","","","","","","","168","149","285","27.907","24.7508","47.3422","MULTIPOLYGON (((28.048416924209796 -14.336154117791116, 28.050602150841595 -14.33677414638398, 28.0513036595446 -14.33434811417657, 28.04911841271941 -14.333728135965359, 28.048416924209796 -14.336154117791116)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a15","2022","35015","GRID_250","250mN094225E191875","ES704","ES704A0","ES704A03","35015","145","43.8724","43.8634","76","69","90.7895","68","77","53.1034","11","107","27","","","","7.5862","73.7931","18.6207","35.514","25.2336","10.2804","245.4545","40.7407","","","6.25","2320","1232","","","","","","","35","23","87","24.1379","15.8621","60","MULTIPOLYGON (((28.04911841271941 -14.333728135965359, 28.0513036595446 -14.33434811417657, 28.052005099943198 -14.331922052066641, 28.04981983292604 -14.331302124240937, 28.04911841271941 -14.333728135965359)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a16","2022","35015","GRID_250","250mN094225E191900","ES704","ES704A0","ES704A03","35015","23","46.413","46.4597","14","9","64.2857","16","7","30.4348","","19","","","","","","82.6087","","","","","","","","","6.25","368","112","","","","","","","8","5","10","34.7826","21.7391","43.4783","MULTIPOLYGON (((28.04981983292604 -14.331302124240937, 28.052005099943198 -14.331922052066641, 28.052706472036096 -14.32949596005568, 28.050521184828426 -14.32887608261936, 28.04981983292604 -14.331302124240937)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a17","2022","35015","GRID_250","250mN094225E191925","ES704","ES704A0","ES704A03","35015","56","45.7321","45.7985","28","28","100","39","17","30.3571","6","42","8","","","","10.7143","75","14.2857","33.3333","19.0476","14.2857","133.3333","75","","","6.25","896","272","","","","","","","15","22","19","26.7857","39.2857","33.9286","MULTIPOLYGON (((28.050521184828426 -14.32887608261936, 28.052706472036096 -14.32949596005568, 28.053407775822034 -14.327069838145231, 28.051222468425312 -14.326450011102144, 28.050521184828426 -14.32887608261936)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a1b","2022","35015","GRID_250","250mN094225E191950","ES704","ES704A0","ES704A03","35015","15","33.7","33.6803","8","7","87.5","9","6","40","0","15","0","","","","0","100","0","0","0","0","","","","","6.25","240","96","","","","","","","","","7","","","46.6667","MULTIPOLYGON (((28.051222468425312 -14.326450011102144, 28.053407775822034 -14.327069838145231, 28.054109011299715 -14.324643686336815, 28.051923683715394 -14.324023909690819, 28.051222468425312 -14.326450011102144)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a1c","2022","35015","GRID_250","250mN094250E191750","ES704","ES704A0","ES704A03","35015","126","38.9841","38.9743","61","65","106.5574","92","34","26.9841","27","91","8","","","","21.4286","72.2222","6.3492","38.4615","8.7912","29.6703","29.6296","337.5","","","6.24","2019.2308","544.8718","","","","","","","31","39","56","24.6032","30.9524","44.4444","MULTIPOLYGON (((28.047907661016787 -14.346509833105255, 28.049980560800456 -14.347098256581722, 28.050682362909217 -14.34467229363007, 28.048497214918804 -14.344052063575853, 28.047839027522237 -14.34632728436266, 28.047907661016787 -14.346509833105255)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a1d","2022","35015","GRID_250","250mN095125E193925","ES704","ES704A0","ES704A03","35015","22","41.4545","41.4603","10","12","120","12","10","45.4545","","17","","","","","","77.2727","","","","","","","","","6.25","352","160","","","","","","","7","4","11","31.8182","18.1818","50","MULTIPOLYGON (((28.185124952948115 -14.156897601975228, 28.187311205900322 -14.15751524044687, 28.188007764699382 -14.155084904020912, 28.18582149161596 -14.154467316372788, 28.185124952948115 -14.156897601975228)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6a1e","2022","35015","GRID_250","250mN094250E191775","ES704","ES704A0","ES704A03","35015","64","47.2031","47.1789","29","35","120.6897","19","45","70.3125","7","42","15","","","","10.9375","65.625","23.4375","52.381","35.7143","16.6667","214.2857","46.6667","","","6.25","1024","720","","","","","","","5","13","46","7.8125","20.3125","71.875","MULTIPOLYGON (((28.048497214918804 -14.344052063575853, 28.050682362909217 -14.34467229363007, 28.051384096717225 -14.342246300765943, 28.049198928527414 -14.341626121085142, 28.048497214918804 -14.344052063575853)))"
